"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
13073, 2.479103982406680e-01, 1.070917265437500e-02, 1.369374281444094e+00, 4.952858087747557e+01, -1.477358170204112e+02, 2.856383095785316e+05, 5.955333915450857e+01, 9.983869858512810e+06, 0.000000000000000e+00, -1.500000000000000e+02
13074, 2.481263453307330e-01, 1.096215485248300e-02, 1.367092204037955e+00, 4.988095444899865e+01, -1.463378032661485e+02, 2.849931086486861e+05, 6.042817812635978e+01, 1.004941623898437e+07, 0.000000000000000e+00, -1.500000000000000e+02
13075, 2.483411247177190e-01, 1.121643058846800e-02, 1.364473947163936e+00, 5.019221526185109e+01, -1.450183960741849e+02, 2.842998983009480e+05, 6.132236050197883e+01, 1.012492636810144e+07, 0.000000000000000e+00, -1.500000000000000e+02
13076, 2.485550057265450e-01, 1.147166987056800e-02, 1.361845194086968e+00, 5.037976314386840e+01, -1.440151739918494e+02, 2.836222229360264e+05, 6.243063290426245e+01, 1.021124812308045e+07, 0.000000000000000e+00, -1.500000000000000e+02
13077, 2.487684710095780e-01, 1.172750511700200e-02, 1.359241358299766e+00, 5.035019683558301e+01, -1.434641503523602e+02, 2.830236936495070e+05, 6.354804126949672e+01, 1.027838527079974e+07, 0.000000000000000e+00, -1.500000000000000e+02
13078, 2.489819209975260e-01, 1.198376359353100e-02, 1.357167403055759e+00, 5.002602710800689e+01, -1.434373756257816e+02, 2.825773325693064e+05, 6.458498180479560e+01, 1.031008115382574e+07, 0.000000000000000e+00, -1.500000000000000e+02
13079, 2.491952136599860e-01, 1.224020038049000e-02, 1.355304530543880e+00, 4.957745400314626e+01, -1.435828359064864e+02, 2.822239502101227e+05, 6.530045849827862e+01, 1.031098990550568e+07, 0.000000000000000e+00, -1.500000000000000e+02
13080, 2.494081400353950e-01, 1.249673512293500e-02, 1.354156362810597e+00, 4.900755882080736e+01, -1.438535254417539e+02, 2.820355803490400e+05, 6.543764229905933e+01, 1.026838029804995e+07, 0.000000000000000e+00, -1.500000000000000e+02
13081, 2.496202559009490e-01, 1.275384473978800e-02, 1.353313278415107e+00, 4.842353174340416e+01, -1.439577658767716e+02, 2.818795800168337e+05, 6.608974483914423e+01, 1.024427530668639e+07, 0.000000000000000e+00, -1.500000000000000e+02
13082, 2.498311140407610e-01, 1.301220639061800e-02, 1.352463809914205e+00, 4.817306984009664e+01, -1.434423592715243e+02, 2.816515334794885e+05, 6.706282417621749e+01, 1.022708772923394e+07, 0.000000000000000e+00, -1.500000000000000e+02
13083, 2.500405604841840e-01, 1.327238844604700e-02, 1.351243573031293e+00, 4.828093845129595e+01, -1.422677231431827e+02, 2.812746963267545e+05, 6.768811572503310e+01, 1.022709855135205e+07, 0.000000000000000e+00, -1.500000000000000e+02
13084, 2.502483423791790e-01, 1.353453411661400e-02, 1.349503866272567e+00, 4.854301315569338e+01, -1.407445520216142e+02, 2.807391759039283e+05, 6.815709011398145e+01, 1.025534431792040e+07, 0.000000000000000e+00, -1.500000000000000e+02
13085, 2.504543427008480e-01, 1.379840412068800e-02, 1.347243021540547e+00, 4.886733672725980e+01, -1.391198725787686e+02, 2.800786748031896e+05, 6.895755674413616e+01, 1.032300229573921e+07, 0.000000000000000e+00, -1.500000000000000e+02
13086, 2.506587909820590e-01, 1.406361074053200e-02, 1.344653461061713e+00, 4.918648708385681e+01, -1.375820418858103e+02, 2.793551506693283e+05, 6.997785492432257e+01, 1.041012180344807e+07, 0.000000000000000e+00, -1.500000000000000e+02
13087, 2.508619561702180e-01, 1.432986957214100e-02, 1.341866494628333e+00, 4.943143063279800e+01, -1.362311935227667e+02, 2.786168376610024e+05, 7.114204508987967e+01, 1.050068654137250e+07, 0.000000000000000e+00, -1.500000000000000e+02
13088, 2.510641224953100e-01, 1.459705162502100e-02, 1.339096248112114e+00, 4.958871143592751e+01, -1.350938982501295e+02, 2.779067149845924e+05, 7.242362443838677e+01, 1.058437105409310e+07, 0.000000000000000e+00, -1.500000000000000e+02
