"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
84, 1.761674269717300e-02, 5.652498161241000e-03, 1.902981008243208e+00, 1.170598149585546e+02, 3.158964358061110e-05, 4.185968761677731e+05, 4.825848713489425e+00, 4.887971013808388e+03
85, 3.743320918915800e-02, -2.661046460000400e-02, 1.902977850472950e+00, 1.170604572792945e+02, -1.278445924612446e-05, 4.185959499054925e+05, 4.229439854862299e+00, 4.329063515147283e+03
86, 1.098913000000000e-02, 5.758710085882000e-03, 1.902973047924055e+00, 1.170628853219704e+02, -5.261312498252669e-04, 4.185948086190067e+05, 5.046017085045231e+00, 5.092905399940910e+03
87, 3.074094194294400e-02, -4.504526278893000e-03, 1.902979015250562e+00, 1.170603635451491e+02, 5.099882464275497e-06, 4.185963164717132e+05, 4.423233148689724e+00, 4.511247424788903e+03
88, 2.996500883855800e-02, -2.071553927611000e-03, 1.902979218293646e+00, 1.170603457231765e+02, 2.459025846896556e-05, 4.185963575806867e+05, 4.445159690889785e+00, 4.531835471946118e+03
89, 2.919884328570200e-02, 5.511489093100000e-04, 1.902979419523684e+00, 1.170601806922041e+02, 4.105833864573018e-05, 4.185963892168347e+05, 4.465981542456324e+00, 4.551387260756864e+03
90, 3.524961480828400e-02, -1.233671912858500e-02, 1.902978288536282e+00, 1.170597538972737e+02, -2.511084393179637e-05, 4.185960426810660e+05, 4.301124792168674e+00, 4.396521158465005e+03
91, 3.592613002088500e-02, -1.477978389132800e-02, 1.902978189171996e+00, 1.170595952869698e+02, -2.204553293847253e-05, 4.185959955552610e+05, 4.281763967109971e+00, 4.378312341071633e+03
92, 3.459896734324400e-02, -9.892776382365000e-03, 1.902978351952387e+00, 1.170599870574204e+02, -2.019413816379241e-05, 4.185960905285219e+05, 4.318446373512060e+00, 4.412799636210390e+03
93, 3.395470836627800e-02, -7.469038805303000e-03, 1.902978422754653e+00, 1.170602027214583e+02, -1.068042980385084e-05, 4.185961350880083e+05, 4.334537461274260e+00, 4.427920299986938e+03
94, 3.663747409397100e-02, -1.720911940246700e-02, 1.902978044067428e+00, 1.170595971389758e+02, -9.968714778800278e-06, 4.185959547516525e+05, 4.260564548882155e+00, 4.358359354704874e+03
95, 3.739024472806600e-02, -1.962626520821700e-02, 1.902977884516545e+00, 1.170597836242871e+02, 4.414496078542505e-06, 4.185959224114147e+05, 4.237976288070096e+00, 4.337090596141420e+03
96, 1.424547616297700e-02, 7.412818919870000e-03, 1.902986005239388e+00, 1.170593092364435e+02, -4.275499478813340e-05, 4.185980848002035e+05, 4.933018603280117e+00, 4.987812707709168e+03
97, 3.819030317873000e-02, -2.205281949926100e-02, 1.902977739467363e+00, 1.170600826692964e+02, 1.061968160879051e-05, 4.185958947985662e+05, 4.214352816465815e+00, 4.314841025570548e+03
98, 3.907015204361400e-02, -2.453604914899100e-02, 1.902977573960052e+00, 1.170603506190932e+02, 3.016491508242353e-06, 4.185958626105312e+05, 4.189792472226863e+00, 4.291697239940703e+03
99, 3.328682203071200e-02, -5.062455760919000e-03, 1.902978544367322e+00, 1.170603368896265e+02, 2.190343605973131e-06, 4.185961768667086e+05, 4.351828311749506e+00, 4.444174732568203e+03
100, 2.572959048481700e-02, 4.227578900430000e-03, 1.902980094886469e+00, 1.170598222378478e+02, 5.655300390479385e-05, 4.185965637588635e+05, 4.564349035188549e+00, 4.643610317375131e+03
101, 2.851070629723800e-02, 3.376145829498000e-03, 1.902979549775578e+00, 1.170599151817419e+02, 4.759757505680315e-05, 4.185964086000869e+05, 4.483490332783949e+00, 4.567827049744087e+03
102, 2.290792850944000e-02, 5.142731007077000e-03, 1.902980620841201e+00, 1.170597345055551e+02, 6.890205322324191e-05, 4.185967158179926e+05, 4.649171006159087e+00, 4.722995115356385e+03
103, 2.048833567918800e-02, 5.957686817422000e-03, 1.902981239767557e+00, 1.170596700340678e+02, 8.062681236307726e-05, 4.185968986993225e+05, 4.729666113524913e+00, 4.798227428352667e+03
104, 1.709809970327300e-02, 9.581779516074000e-03, 1.902981088130206e+00, 1.170596534863324e+02, 1.575261088066134e-04, 4.185968541583158e+05, 4.835889752053020e+00, 4.897330850167338e+03
105, 4.017030040180400e-02, -2.690702139586500e-02, 1.902977375115404e+00, 1.170604473561853e+02, -1.766862690288459e-05, 4.185958167381118e+05, 4.162828154333892e+00, 4.266277050517837e+03
106, 1.098913000000000e-02, 9.349668441923000e-03, 1.902972281456802e+00, 1.170630678189799e+02, -9.435695431508318e-04, 4.185946301285867e+05, 5.054486027050078e+00, 5.100790703494039e+03
107, 3.258645628870100e-02, -2.630084179927000e-03, 1.902978719103995e+00, 1.170603500825059e+02, 1.783467785414062e-05, 4.185962149978972e+05, 4.371222737211965e+00, 4.462408893546702e+03
108, 3.187703434122200e-02, -1.183274428590000e-04, 1.902978904704698e+00, 1.170602282163574e+02, 3.224649601045293e-05, 4.185962457619723e+05, 4.390676069063995e+00, 4.480697368082943e+03
109, 3.120152079911500e-02, 2.519699220707000e-03, 1.902979046116229e+00, 1.170600024941094e+02, 4.061400203957183e-05, 4.185962678319967e+05, 4.408387631604837e+00, 4.497346471850375e+03
110, 1.954697054324800e-02, 7.907348910930000e-03, 1.902981433518451e+00, 1.170595297604848e+02, 8.693245346355998e-05, 4.185969375635351e+05, 4.762831162607636e+00, 4.829202262991535e+03
111, 3.776062493272800e-02, -1.300319812094900e-02, 1.902977858822557e+00, 1.170597011935329e+02, -2.369963615373603e-05, 4.185959083053088e+05, 4.233622675369142e+00, 4.332978485953362e+03
112, 3.709892441900500e-02, -1.056856513032000e-02, 1.902977928682519e+00, 1.170599162615315e+02, -2.060688432344015e-05, 4.185959556126368e+05, 4.251207399576832e+00, 4.349527885399340e+03
113, 3.844400100947600e-02, -1.542743316487100e-02, 1.902977749440431e+00, 1.170595887502918e+02, -1.860912783128607e-05, 4.185958640390310e+05, 4.214333280097033e+00, 4.314811739046423e+03
114, 3.644531804632400e-02, -8.132933474120000e-03, 1.902977992917020e+00, 1.170601422690908e+02, -1.196596187247516e-05, 4.185960011291341e+05, 4.267504166583952e+00, 4.364859726556739e+03
115, 3.578449394727700e-02, -5.701074688243000e-03, 1.902978095582044e+00, 1.170603025483692e+02, 3.603198021534128e-08, 4.185960429043749e+05, 4.283990636084969e+00, 4.380373528367802e+03
116, 3.915712055525500e-02, -1.783905910472400e-02, 1.902977604146353e+00, 1.170596454811755e+02, -6.663591821927817e-06, 4.185958272675629e+05, 4.193582509783177e+00, 4.295256884985343e+03
117, 3.990420609701200e-02, -2.024750268075300e-02, 1.902977455122955e+00, 1.170598667427399e+02, 4.922677451160342e-06, 4.185957983249778e+05, 4.171804266652538e+00, 4.274726206907883e+03
118, 1.371954666167800e-02, 1.042761136435700e-02, 1.902986233101231e+00, 1.170589073611994e+02, 5.582738037125272e-04, 4.185980651128540e+05, 4.948823697843751e+00, 5.002540106582285e+03
119, 4.069220372709400e-02, -2.267130557327900e-02, 1.902977313086077e+00, 1.170601594796800e+02, 6.889297786487714e-06, 4.185957730217404e+05, 4.149607173040514e+00, 4.253793722779286e+03
120, 4.153239354747100e-02, -2.507521821620500e-02, 1.902977150064976e+00, 1.170603777048786e+02, -3.343920966987513e-06, 4.185957421992172e+05, 4.127646426468752e+00, 4.233076710938893e+03
121, 3.511121858126200e-02, -3.263950602238000e-03, 1.902978250079444e+00, 1.170603490814569e+02, 1.386185809159363e-05, 4.185960800466607e+05, 4.301789262985579e+00, 4.397126636061608e+03
122, 2.498441130396300e-02, 7.219373399366000e-03, 1.902980248218349e+00, 1.170596216862779e+02, 4.865579557432256e-05, 4.185965946785379e+05, 4.585811518282306e+00, 4.663720453651016e+03
123, 2.790931378506600e-02, 6.287167629070000e-03, 1.902979659212121e+00, 1.170596926572541e+02, 4.162870087183475e-05, 4.185964307966566e+05, 4.500511496989853e+00, 4.583802329581582e+03
124, 3.057998373500300e-02, 5.356112282353000e-03, 1.902979154790614e+00, 1.170597678603389e+02, 3.843833809843617e-05, 4.185962875462568e+05, 4.424987459700008e+00, 4.512946144920162e+03
125, 2.216294820804000e-02, 7.895208429277999e-03, 1.902980785415776e+00, 1.170595766329546e+02, 6.352623235077438e-05, 4.185967486013693e+05, 4.673841501717445e+00, 4.746074875084034e+03
126, 2.066978927980000e-02, 1.027515691019000e-02, 1.902981278365952e+00, 1.170596910659598e+02, 7.473743300342951e-05, 4.185968894990092e+05, 4.722940194201471e+00, 4.791936546581347e+03
127, 1.524009484252000e-02, 1.284684976575100e-02, 1.902983788856405e+00, 1.170599614591289e+02, 2.264061626927316e-04, 4.185975769576529e+05, 4.892114100971408e+00, 4.949715584723369e+03
128, 4.236781497002600e-02, -2.719709899104400e-02, 1.902977010188105e+00, 1.170604351450960e+02, -2.151816255904632e-05, 4.185957089599452e+05, 4.107552511018394e+00, 4.214117818172484e+03
129, 1.098913000000000e-02, 1.260999448766600e-02, 1.902974527911677e+00, 1.170622381323065e+02, 1.660141463729092e-04, 4.185951827598553e+05, 5.034157981370133e+00, 5.081882102973687e+03
130, 3.443633643047900e-02, -8.014210721850000e-04, 1.902978423757361e+00, 1.170602657286587e+02, 2.671978862278737e-05, 4.185961104510851e+05, 4.320072729673271e+00, 4.414336015400990e+03
131, 3.378075545588800e-02, 1.711901491905000e-03, 1.902978567883242e+00, 1.170600768824012e+02, 3.538531228581459e-05, 4.185961331172501e+05, 4.337441667862999e+00, 4.430681991020179e+03
132, 3.316588481913200e-02, 4.291030324065000e-03, 1.902978679695961e+00, 1.170598562133389e+02, 3.712861725004466e-05, 4.185961526339249e+05, 4.353719265070602e+00, 4.445997553394812e+03
133, 4.023736101034700e-02, -1.364356351485600e-02, 1.902977444537737e+00, 1.170596617051113e+02, -2.298249545216078e-05, 4.185957799895270e+05, 4.168737505310118e+00, 4.271823131602573e+03
134, 3.956751061213100e-02, -1.122055073206100e-02, 1.902977522006357e+00, 1.170598502418396e+02, -2.118782480161563e-05, 4.185958259308167e+05, 4.186422611567886e+00, 4.288489701114669e+03
135, 3.890795224425200e-02, -8.790833389547999e-03, 1.902977583286194e+00, 1.170600774757431e+02, -1.316210947858152e-05, 4.185958717646083e+05, 4.202851803446541e+00, 4.303965362429853e+03
136, 4.092584529352600e-02, -1.605602767175100e-02, 1.902977327815140e+00, 1.170595975350672e+02, -1.703341007562798e-05, 4.185957388983465e+05, 4.149646665400141e+00, 4.253820148075343e+03
137, 3.824904050033900e-02, -6.358547115773000e-03, 1.902977670369442e+00, 1.170602596898379e+02, -1.573556345132325e-06, 4.185959140449885e+05, 4.218930327824811e+00, 4.319110939447697e+03
138, 3.758640378742400e-02, -3.923889437871000e-03, 1.902977806122835e+00, 1.170603392516823e+02, 1.144284445673534e-05, 4.185959511611355e+05, 4.235676421675754e+00, 4.334889786050815e+03
139, 4.163696973225600e-02, -1.846123527123400e-02, 1.902977185542820e+00, 1.170597035968134e+02, -6.301236060671936e-06, 4.185957059381653e+05, 4.129462833455367e+00, 4.234776689532285e+03
140, 4.237082608280400e-02, -2.087586016959100e-02, 1.902977044680960e+00, 1.170599499732340e+02, 1.663997497445462e-06, 4.185956802475931e+05, 4.108760701190048e+00, 4.215237406121927e+03
141, 1.879130486444200e-02, 1.285628644251700e-02, 1.902981497175165e+00, 1.170599614557336e+02, 1.096466660573993e-04, 4.185969900773226e+05, 4.780688155714103e+00, 4.845845490827586e+03
142, 4.311903479735500e-02, -2.333271754204200e-02, 1.902976902577823e+00, 1.170602284321893e+02, 5.022149688494005e-08, 4.185956559092861e+05, 4.088232911078194e+00, 4.195856794392248e+03
143, 4.384011259054400e-02, -2.596038706591500e-02, 1.902976763008030e+00, 1.170604103692066e+02, -1.433076210381967e-05, 4.185956300576769e+05, 4.068936126786746e+00, 4.177631264788836e+03
144, 3.692617692468100e-02, -1.483078566368000e-03, 1.902977969731835e+00, 1.170602927347750e+02, 2.353843713143922e-05, 4.185959817046744e+05, 4.252992723240339e+00, 4.351207582773301e+03
145, 2.704406202910900e-02, 8.984589857890000e-03, 1.902979868968215e+00, 1.170596736185893e+02, 2.299736085595472e-05, 4.185964809721163e+05, 4.525752196943816e+00, 4.607465228895504e+03
146, 2.396578649517500e-02, 1.026563213561300e-02, 1.902980474092959e+00, 1.170597218572424e+02, 2.124267829231460e-05, 4.185966648445597e+05, 4.620830460778103e+00, 4.696494445056573e+03
147, 3.013156773801100e-02, 8.218106778465000e-03, 1.902979263274710e+00, 1.170596909402180e+02, 1.980729921738424e-05, 4.185963107310708e+05, 4.439439299093962e+00, 4.526526556983775e+03
148, 3.262231758096700e-02, 6.811259074506000e-03, 1.902978787374883e+00, 1.170597182350878e+02, 2.590445379894300e-05, 4.185961714375602e+05, 4.368347873084391e+00, 4.459758701089414e+03
149, 2.201306631939300e-02, 1.296184789943800e-02, 1.902980904118719e+00, 1.170600028699784e+02, 3.113649420948971e-05, 4.185968197189610e+05, 4.680063621872562e+00, 4.751884034839812e+03
150, 1.425677776786600e-02, 1.570209965500000e-02, 1.902986884140529e+00, 1.170588768603662e+02, 2.267884649701526e-04, 4.185983525826715e+05, 4.951486758172209e+00, 5.005060077117641e+03
151, 1.740466005601500e-02, 1.570209965500000e-02, 1.902980958280968e+00, 1.170600702794657e+02, 9.851245772765215e-05, 4.185969093652862e+05, 4.837978506587772e+00, 4.899323126968917e+03
152, 3.628328593968400e-02, 9.728977664870000e-04, 1.902978116940084e+00, 1.170601363891584e+02, 3.216292421442439e-05, 4.185960050859298e+05, 4.269903557659861e+00, 4.367141335796076e+03
153, 3.567642238194400e-02, 3.449006580028000e-03, 1.902978231134777e+00, 1.170599301989557e+02, 3.447993742524202e-05, 4.185960238033555e+05, 4.285799184047433e+00, 4.382115769249500e+03
154, 3.512677010526900e-02, 5.902453955859000e-03, 1.902978336376298e+00, 1.170597684121788e+02, 2.659406135318872e-05, 4.185960420647956e+05, 4.300023631073073e+00, 4.395513994133922e+03
155, 4.269244380571400e-02, -1.427030944318300e-02, 1.902977043474194e+00, 1.170596349060146e+02, -2.356803553308128e-05, 4.185956570306594e+05, 4.106129614039256e+00, 4.212742446863589e+03
156, 4.201703345344000e-02, -1.185630655789200e-02, 1.902977128613135e+00, 1.170597904086125e+02, -2.226636845235970e-05, 4.185957009259987e+05, 4.123756912753332e+00, 4.229376130884612e+03
157, 4.135220393237800e-02, -9.435364357771000e-03, 1.902977190020121e+00, 1.170600106880856e+02, -1.443682558692531e-05, 4.185957464235256e+05, 4.140240480552058e+00, 4.244922575321987e+03
158, 4.069226583048200e-02, -7.010509577107000e-03, 1.902977265115480e+00, 1.170602092671351e+02, -2.696014956379018e-06, 4.185957892136959e+05, 4.156109327892977e+00, 4.259886976474517e+03
159, 4.338212856719400e-02, -1.667598353693900e-02, 1.902976922526182e+00, 1.170596195963122e+02, -1.804513141540302e-05, 4.185956193893822e+05, 4.087392238623203e+00, 4.195050986833390e+03
