"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
3398, -3.594735176842470e+01, -1.659193067842120e+02, 9.998163188569436e-01, 1.000589899430200e+00, 7.124065703177544e-05, 2.499342687127281e+01, 2.268929262501679e-07, 1.790742748677117e-01, 9.797097841045330e+00, 1.000075500668192e+00, 2.701987059126906e-01, -2.120210521528776e-03, 1.619095348822516e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.266799770460756e-06
3399, -4.170646247656600e+01, -1.641374910011530e+02, 9.998167481326191e-01, 1.000585634731528e+00, 7.295076406402869e-05, 2.499343765884866e+01, 2.373352617658880e-07, 1.869078229029726e-01, 9.797103945033117e+00, 1.000075694368595e+00, 2.701974121320640e-01, -2.108002545956111e-03, 1.619095593439834e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.269565746099551e-06
3400, -4.769675226401350e+01, -1.620699911265990e+02, 9.998171982832517e-01, 1.000581271545629e+00, 7.442921620122760e-05, 2.499344910607452e+01, 2.483869589154212e-07, 1.951996179249926e-01, 9.797110356240502e+00, 1.000075898549039e+00, 2.701960846964153e-01, -2.095180131185259e-03, 1.619095851291997e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.272244054534894e-06
3401, -5.392014946469120e+01, -1.596804474270400e+02, 9.998176688550053e-01, 1.000576820560840e+00, 7.564838142302395e-05, 2.499346121806259e+01, 2.600633023648724e-07, 2.039613408107783e-01, 9.797117072337320e+00, 1.000076113425590e+00, 2.701947265847851e-01, -2.081747937548784e-03, 1.619096122651861e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.274829257795512e-06
3402, -6.037413825182640e+01, -1.569289518099340e+02, 9.998181594649188e-01, 1.000572300076847e+00, 7.657639238865597e-05, 2.499347400269475e+01, 2.723703904884227e-07, 2.131977812561861e-01, 9.797124089072497e+00, 1.000076338947335e+00, 2.701933428484089e-01, -2.067714467195003e-03, 1.619096407455130e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.277315649843494e-06
3403, -6.705036079410560e+01, -1.537724056816200e+02, 9.998186687288094e-01, 1.000567732960069e+00, 7.717764567166317e-05, 2.499348744223339e+01, 2.853014796327154e-07, 2.229040977083960e-01, 9.797131389923900e+00, 1.000076574812232e+00, 2.701919400761551e-01, -2.053112764389908e-03, 1.619096705320358e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.279697181365530e-06
3404, -7.393310175363810e+01, -1.501652126421730e+02, 9.998191947498377e-01, 1.000563149584963e+00, 7.741243791305662e-05, 2.499350150485688e+01, 2.988328538115935e-07, 2.330627193729319e-01, 9.797138949634670e+00, 1.000076820339398e+00, 2.701905270740169e-01, -2.037993342849376e-03, 1.619097015387679e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.281967463805727e-06
3405, -8.099776837085030e+01, -1.460603694582320e+02, 9.998197346077392e-01, 1.000558586291787e+00, 7.723764774624270e-05, 2.499351613014000e+01, 3.129195066440124e-07, 2.436401037389764e-01, 9.797146728922199e+00, 1.000077074439915e+00, 2.701891145906548e-01, -2.022434767791736e-03, 1.619097336281935e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.284119868956500e-06
3406, -8.820951987564420e+01, -1.414109920646470e+02, 9.998202845792901e-01, 1.000554085769756e+00, 7.660743735831700e-05, 2.499353123293842e+01, 3.274910811052615e-07, 2.545836818582964e-01, 9.797154675924284e+00, 1.000077335543933e+00, 2.701877153711773e-01, -2.006540763620279e-03, 1.619097666020617e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.286147735460508e-06
3407, -9.552222406201641e+01, -1.361722735344980e+02, 9.998208399377002e-01, 1.000549695160071e+00, 7.547479666435837e-05, 2.499354669613848e+01, 3.424486400191506e-07, 2.658194193350786e-01, 9.797162724019469e+00, 1.000077601578831e+00, 2.701863437021150e-01, -1.990444573252148e-03, 1.619098001986283e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.288044672414413e-06
3408, -1.028779174496870e+02, -1.303038237568620e+02, 9.998213951518824e-01, 1.000545464276968e+00, 7.379349380825899e-05, 2.499356237402904e+01, 3.576628508748603e-07, 2.772504448368715e-01, 9.797170793928373e+00, 1.000077869984404e+00, 2.701850148752260e-01, -1.974304755442802e-03, 1.619098340945744e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.289804857717843e-06
3409, -1.102069164997960e+02, -1.237722940243090e+02, 9.998219439658504e-01, 1.000541442725869e+00, 7.152089929172581e-05, 2.499357809209106e+01, 3.729742317240849e-07, 2.887571910832554e-01, 9.797178794798755e+00, 1.000078137744208e+00, 2.701837443837067e-01, -1.958303014678364e-03, 1.619098679089644e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.291423496716699e-06
3410, -1.174286781200450e+02, -1.165541502391310e+02, 9.998224796439867e-01, 1.000537677050242e+00, 6.862113647660982e-05, 2.499359365208498e+01, 3.881957221519900e-07, 3.001992876881273e-01, 9.797186627430396e+00, 1.000078401469416e+00, 2.701825470742449e-01, -1.942637751398024e-03, 1.619099012138360e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.292897170068093e-06
