"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
47, 1.004397872347220e+00, 5.352202629500000e-08, 9.979736950092327e-01, 8.557053645018491e-02, 1.140587094944109e-02, 2.506658520317977e+00, 6.411267664541385e-05, 4.295148017018480e+03
48, 1.000000000000000e+00, 5.352202629500000e-08, 9.948765509804753e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503178928578216e+00, 1.000000000000000e-10, 1.455489381437879e+06
49, 9.957820729228830e-01, -5.967886532841323e-04, 9.971638879987256e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503642505933821e+00, 1.000000000000000e-10, 1.484037240432505e+06
50, 9.909241437988340e-01, -1.280289614488857e-03, 9.973465753797843e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503797783087591e+00, 1.000000000000000e-10, 1.521807750328613e+06
51, 9.853368952903420e-01, -2.061293361678059e-03, 9.973486541740398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503690879990067e+00, 1.000000000000000e-10, 1.555786798814433e+06
52, 9.789211302792580e-01, -2.951446198418808e-03, 9.972888951484662e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503545816836795e+00, 1.000000000000000e-10, 1.586079717021821e+06
53, 9.715675460812661e-01, -3.963073044857662e-03, 9.972232313669616e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503407061585909e+00, 1.000000000000000e-10, 1.612875949387664e+06
54, 9.631568360186920e-01, -5.108981458577545e-03, 9.971639914723988e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503281278259214e+00, 1.000000000000000e-10, 1.636463725378880e+06
55, 9.535602429161220e-01, -6.402177880090121e-03, 9.971123667646435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503165631911096e+00, 1.000000000000000e-10, 1.657149314522878e+06
56, 9.426407105822270e-01, -7.855481327107042e-03, 9.970667280344058e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503059393352949e+00, 1.000000000000000e-10, 1.675233760577338e+06
57, 9.302547962764830e-01, -9.481022247350132e-03, 9.970261271722990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502963391027348e+00, 1.000000000000000e-10, 1.690998217584877e+06
58, 9.162555145009680e-01, -1.128961886009035e-02, 9.969908341290475e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502879640983657e+00, 1.000000000000000e-10, 1.704699409636613e+06
59, 9.004962734807360e-01, -1.329003047580013e-02, 9.969617998810594e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502810753210872e+00, 1.000000000000000e-10, 1.716569560951129e+06
60, 8.828360320456839e-01, -1.548809659764239e-02, 9.969399287057166e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502759048313074e+00, 1.000000000000000e-10, 1.726817860958171e+06
61, 8.631457374960591e-01, -1.788578165295289e-02, 9.969260859147501e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502726694558363e+00, 1.000000000000000e-10, 1.735630994560593e+06
62, 8.413159970120960e-01, -2.048015683562499e-02, 9.969210923118051e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502716113788082e+00, 1.000000000000000e-10, 1.743174322159416e+06
63, 8.172657826166300e-01, -2.326236201353585e-02, 9.969257027546659e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502729556155728e+00, 1.000000000000000e-10, 1.749592950132895e+06
64, 7.909517772165610e-01, -2.621660130830753e-02, 9.969406238909967e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502769011201245e+00, 1.000000000000000e-10, 1.755012995278897e+06
65, 7.623777524675190e-01, -2.931923744885270e-02, 9.969669019476650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502837266655598e+00, 1.000000000000000e-10, 1.759542347021925e+06
66, 7.316031585245610e-01, -3.253806414443636e-02, 9.970054552712169e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.502936451994678e+00, 1.000000000000000e-10, 1.763272700100678e+06
67, 6.987499446352849e-01, -3.583185629664898e-02, 9.970574740318943e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503069479700959e+00, 1.000000000000000e-10, 1.766280359823930e+06
68, 6.640065698311099e-01, -3.915032464739417e-02, 9.971244771088345e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503240198401624e+00, 1.000000000000000e-10, 1.768627295338207e+06
69, 6.276282525902900e-01, -4.243462858861940e-02, 9.972080932098093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503452568054636e+00, 1.000000000000000e-10, 1.770362377964677e+06
