"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
12062, 1.229513191688430e+01, 2.792203870910370e+01, 9.998950871800701e-01, 1.753049380581078e-01, 3.064599167377290e-02, 2.515588087444541e+00, 2.024130009068787e-09, 9.938693025607766e-03
12063, 1.267469277959430e+01, 2.782948007991130e+01, 9.998957028637895e-01, 1.753014537072728e-01, 3.064064061561188e-02, 2.515589457594554e+00, 2.020614331583244e-09, 9.922863752941657e-03
12064, 1.304834908062470e+01, 2.773423038265240e+01, 9.998963158362425e-01, 1.752979525649803e-01, 3.063543620265158e-02, 2.515590819887793e+00, 2.017173055300499e-09, 9.907368309589257e-03
12065, 1.341622959901420e+01, 2.763643326640160e+01, 9.998969257635262e-01, 1.752944374822596e-01, 3.063037428251522e-02, 2.515592173531338e+00, 2.013803939042421e-09, 9.892196627042205e-03
12066, 1.377846014462260e+01, 2.753622486253310e+01, 9.998975323410615e-01, 1.752909110957008e-01, 3.062545079325874e-02, 2.515593517799723e+00, 2.010504828901344e-09, 9.877339024618946e-03
12067, 1.413516360280390e+01, 2.743373419357920e+01, 9.998981352928258e-01, 1.752873758420151e-01, 3.062066176822229e-02, 2.515594852034956e+00, 2.007273654228443e-09, 9.862786191422194e-03
12068, 1.448645998281280e+01, 2.732908355735630e+01, 9.998987343704939e-01, 1.752838339733731e-01, 3.061600334202094e-02, 2.515596175646388e+00, 2.004108423862656e-09, 9.848529169343085e-03
12069, 1.483246646863940e+01, 2.722238888832800e+01, 9.998993293524365e-01, 1.752802875731251e-01, 3.061147175664370e-02, 2.515597488110171e+00, 2.001007222591473e-09, 9.834559337073416e-03
12070, 1.517329747127780e+01, 2.711376009798540e+01, 9.998999200426114e-01, 1.752767385713093e-01, 3.060706336660378e-02, 2.515598788968256e+00, 1.997968207832509e-09, 9.820868395076352e-03
12071, 1.550906468170440e+01, 2.700330139584370e+01, 9.999005062696910e-01, 1.752731887613080e-01, 3.060277464643285e-02, 2.515600077828512e+00, 1.994989606524487e-09, 9.807448351464876e-03
12072, 1.583987712428600e+01, 2.689111159241360e+01, 9.999010878857375e-01, 1.752696398169518e-01, 3.059860219825550e-02, 2.515601354363320e+00, 1.992069712200512e-09, 9.794291508662139e-03
12073, 1.616584121263140e+01, 2.677728438462730e+01, 9.999016647636876e-01, 1.752660933069075e-01, 3.059454275092317e-02, 2.515602618303310e+00, 1.989206882125073e-09, 9.781390450298242e-03
12074, 1.648706082626860e+01, 2.666190861837950e+01, 9.999022367937154e-01, 1.752625507220320e-01, 3.059059317975877e-02, 2.515603869430074e+00, 1.986399533785071e-09, 9.768738025077203e-03
12075, 1.680363753776800e+01, 2.654506848270240e+01, 9.999028038606044e-01, 1.752590135452961e-01, 3.058675056439336e-02, 2.515605107511359e+00, 1.983646136571173e-09, 9.756327308517668e-03
12076, 1.711567182268210e+01, 2.642684333015650e+01, 9.999033657283612e-01, 1.752554834506991e-01, 3.058301229070111e-02, 2.515606331936986e+00, 1.980945176243259e-09, 9.744151440351592e-03
12077, 1.742327017122700e+01, 2.630730526753270e+01, 9.999039215129788e-01, 1.752519626322293e-01, 3.057937560718113e-02, 2.515607539925874e+00, 1.978294978646055e-09, 9.732202820778824e-03
