"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
53	5.313952597646567e-01	4.990133642141358e-01	-4.081547955423957e-02	1.000000000000000e+00	0.000000000000000e+00	2.905876991852249e+00	0.000000000000000e+00	
54	5.470541566592572e-01	4.977809823015400e-01	-5.457006531321642e-02	1.000000000000000e+00	0.000000000000000e+00	2.833134542054477e+00	0.000000000000000e+00	
55	5.626666167821521e-01	4.960573506572389e-01	-6.490755718865909e-02	1.000000000000000e+00	0.000000000000000e+00	2.746373083929350e+00	0.000000000000000e+00	
56	5.782172325201155e-01	4.938441702975688e-01	-7.773638483216602e-02	1.000000000000000e+00	0.000000000000000e+00	2.650325041752640e+00	0.000000000000000e+00	
57	5.936906572928624e-01	4.911436253643443e-01	-9.027105760088425e-02	1.000000000000000e+00	0.000000000000000e+00	2.545837971838541e+00	0.000000000000000e+00	
58	6.090716206982713e-01	4.879583809693737e-01	-1.081998272398406e-01	1.000000000000000e+00	0.000000000000000e+00	2.430557616812850e+00	0.000000000000000e+00	
59	6.243449435824274e-01	4.842915805643155e-01	-1.212572943888115e-01	1.000000000000000e+00	0.000000000000000e+00	2.307132837890039e+00	0.000000000000000e+00	
60	6.394955530196147e-01	4.801468428384715e-01	-1.359485040881739e-01	1.000000000000000e+00	0.000000000000000e+00	2.180137012625842e+00	0.000000000000000e+00	
61	6.545084971874737e-01	4.755282581475768e-01	-1.490204398075978e-01	1.000000000000000e+00	0.000000000000000e+00	2.052166702245291e+00	0.000000000000000e+00	
62	6.693689601226458e-01	4.704403844771127e-01	-1.685303278653625e-01	1.000000000000000e+00	0.000000000000000e+00	1.921259074367359e+00	0.000000000000000e+00	
63	6.840622763423390e-01	4.648882429441257e-01	-1.846269858494072e-01	1.000000000000000e+00	0.000000000000000e+00	1.786537575340357e+00	0.000000000000000e+00	
64	6.985739453173904e-01	4.588773128419906e-01	-2.055097067588511e-01	1.000000000000000e+00	0.000000000000000e+00	1.648881100663376e+00	0.000000000000000e+00	
65	7.128896457825364e-01	4.524135262330097e-01	-2.204369681238311e-01	1.000000000000000e+00	0.000000000000000e+00	1.511803609746591e+00	0.000000000000000e+00	
66	7.269952498697734e-01	4.455032620941839e-01	-2.370329751460055e-01	1.000000000000000e+00	0.000000000000000e+00	1.379479495866470e+00	0.000000000000000e+00	
67	7.408768370508577e-01	4.381533400219317e-01	-2.516989066391181e-01	1.000000000000000e+00	0.000000000000000e+00	1.252330178199154e+00	0.000000000000000e+00	
68	7.545207078751857e-01	4.303710135019718e-01	-2.726586897997592e-01	1.000000000000000e+00	0.000000000000000e+00	1.127881399186132e+00	0.000000000000000e+00	
69	7.679133974894984e-01	4.221639627510075e-01	-2.867930850617270e-01	1.000000000000000e+00	0.000000000000000e+00	1.006660149922410e+00	0.000000000000000e+00	
70	7.810416889260653e-01	4.135402871372809e-01	-3.025298332918716e-01	1.000000000000000e+00	0.000000000000000e+00	8.914593247082572e-01	0.000000000000000e+00	
71	7.938926261462365e-01	4.045084971874737e-01	-3.164966997829810e-01	1.000000000000000e+00	0.000000000000000e+00	7.834398548881106e-01	0.000000000000000e+00	
72	8.064535268264883e-01	3.950775061878452e-01	-3.364143554139080e-01	1.000000000000000e+00	0.000000000000000e+00	6.817805548274561e-01	0.000000000000000e+00	
73	8.187119948743449e-01	3.852566213878946e-01	-3.502310286360752e-01	1.000000000000000e+00	0.000000000000000e+00	5.868983384379006e-01	0.000000000000000e+00	
74	8.306559326618260e-01	3.750555348152297e-01	-3.652883955784235e-01	1.000000000000000e+00	0.000000000000000e+00	5.000506202366357e-01	0.000000000000000e+00	
75	8.422735529643444e-01	3.644843137107058e-01	-3.786898411371902e-01	1.000000000000000e+00	0.000000000000000e+00	4.205275457408234e-01	0.000000000000000e+00	
76	8.535533905932737e-01	3.535533905932738e-01	-3.962805653098591e-01	1.000000000000000e+00	0.000000000000000e+00	3.477619237610931e-01	0.000000000000000e+00	
77	8.644843137107059e-01	3.422735529643443e-01	-4.083819742154306e-01	1.000000000000000e+00	0.000000000000000e+00	2.821515020483140e-01	0.000000000000000e+00	
78	8.750555348152298e-01	3.306559326618259e-01	-4.205785171056307e-01	1.000000000000000e+00	0.000000000000000e+00	2.241613351606032e-01	0.000000000000000e+00	
79	8.852566213878947e-01	3.187119948743448e-01	-4.305020891359831e-01	1.000000000000000e+00	0.000000000000000e+00	1.735546241414272e-01	0.000000000000000e+00	
80	8.950775061878452e-01	3.064535268264882e-01	-4.441017223800262e-01	1.000000000000000e+00	0.000000000000000e+00	1.296170409557831e-01	0.000000000000000e+00	
81	9.045084971874737e-01	2.938926261462366e-01	-4.530678267319734e-01	1.000000000000000e+00	0.000000000000000e+00	9.212253646847560e-02	0.000000000000000e+00	
