"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27368, 2.045638397675695e+01, 2.698148606249565e-01, 9.558393010508137e+00, -1.138244378058554e+02, 2.920194110688121e+02, 2.129397609934608e+06, 8.444048335027653e-02
27369, 2.046028521212781e+01, 2.724638279989433e-01, 9.557786044608623e+00, -8.857030434585164e+01, 2.669681974290283e+02, 2.129597948514297e+06, 9.762138819452068e-02
27370, 2.046477769061717e+01, 2.755142537783077e-01, 9.557227229685399e+00, -5.832384856232569e+01, 2.375499675928143e+02, 2.130040129560384e+06, 1.104483366633164e-01
27371, 2.046994928546827e+01, 2.790258045384590e-01, 9.557014996838106e+00, -2.203754674961806e+01, 2.031920717114400e+02, 2.130863735638645e+06, 1.222265858081781e-01
27372, 2.047590073553611e+01, 2.830668826993338e-01, 9.557705164729873e+00, 2.152138583697459e+01, 1.633473025432740e+02, 2.132264052772485e+06, 1.319794229392823e-01
27373, 2.048274750667129e+01, 2.877158904187272e-01, 9.560321520096030e+00, 7.375287287157987e+01, 1.175803740485190e+02, 2.134506188217764e+06, 1.383122980551019e-01
27374, 2.049062191981584e+01, 2.930626745848429e-01, 9.566764592541679e+00, 1.361757671773662e+02, 6.570551020475234e+01, 2.137940110497154e+06, 1.391200774260839e-01
27375, 2.049967558372181e+01, 2.992101786501304e-01, 9.580399244988991e+00, 2.101671217029483e+02, 8.080304456538469e+00, 2.142948766557747e+06, 1.336583646326749e-01
27376, 2.051008217555710e+01, 3.062763306828919e-01, 9.606927898806498e+00, 2.965155081344444e+02, -5.388270000989595e+01, 2.149836519082691e+06, 1.214720299574524e-01
27377, 2.052204061876580e+01, 3.143962011578090e-01, 9.655697467884707e+00, 3.949276984791193e+02, -1.175189685017224e+02, 2.158717055374190e+06, 1.037950992743715e-01
27378, 2.053577871451174e+01, 3.237244687326291e-01, 9.737595741320957e+00, 5.034889843953088e+02, -1.790608020338975e+02, 2.169332471646341e+06, 8.404889060063990e-02
27379, 2.055155729096923e+01, 3.344382376469792e-01, 9.842010010101289e+00, 6.164347230546828e+02, -2.333993123695587e+02, 2.180952149950568e+06, 6.632581573994947e-02
27380, 2.056967494377378e+01, 3.467402565231009e-01, 9.954165312877000e+00, 7.276136370659916e+02, -2.768224750879870e+02, 2.193633526467126e+06, 5.306627715194380e-02
27381, 2.059047345126069e+01, 3.608625953524958e-01, 1.006258476815795e+01, 8.318774764399934e+02, -3.076678340282943e+02, 2.207107421004573e+06, 4.440691120196839e-02
27382, 2.061434395987857e+01, 3.770708454369741e-01, 1.016057974423624e+01, 9.252334815630658e+02, -3.255826562746778e+02, 2.220954705819253e+06, 3.931266195588273e-02
27383, 2.064173404856894e+01, 3.956689161541060e-01, 1.024582334442107e+01, 1.005265321467553e+03, -3.314206379849102e+02, 2.234720587389407e+06, 3.654089490067613e-02
27384, 2.067315579618083e+01, 4.170045127908487e-01, 1.031864588541900e+01, 1.071172041871538e+03, -3.268774836551702e+02, 2.247976708691063e+06, 3.503181590752774e-02
27385, 2.070919499340259e+01, 4.414753915125598e-01, 1.038061403369264e+01, 1.123534143070216e+03, -3.140715548773802e+02, 2.260378836558099e+06, 3.399070581750284e-02
27386, 2.075052166053671e+01, 4.695365010092290e-01, 1.043359251590405e+01, 1.163940584425982e+03, -2.951960528219094e+02, 2.271692377578963e+06, 3.288093021383146e-02
27387, 2.079790205505913e+01, 5.017081357160506e-01, 1.047924915878361e+01, 1.194563050687904e+03, -2.722854605498695e+02, 2.281794170458222e+06, 3.140004544585018e-02
27388, 2.085221237867280e+01, 5.385852430031469e-01, 1.051888469732241e+01, 1.217755745106008e+03, -2.470873831477824e+02, 2.290659442572104e+06, 2.944273214059509e-02
27389, 2.091445442292835e+01, 5.808480466665442e-01, 1.055344748863116e+01, 1.235739371569971e+03, -2.210182573647811e+02, 2.298338537237075e+06, 2.704717685748158e-02
27390, 2.098577342593947e+01, 6.292741717686131e-01, 1.058363131777051e+01, 1.250394282499049e+03, -1.951715332402119e+02, 2.304931511771369e+06, 2.433388572130122e-02
27391, 2.106747845083513e+01, 6.847524817563234e-01, 1.060998271578924e+01, 1.263162243682496e+03, -1.703517486543513e+02, 2.310565434894218e+06, 2.145194253685744e-02
27392, 2.116106564001272e+01, 7.482988682693079e-01, 1.063297778760654e+01, 1.275037471506187e+03, -1.471175630039097e+02, 2.315376333450905e+06, 1.854276984426014e-02
27393, 2.126824474872004e+01, 8.210742676362792e-01, 1.065306025613227e+01, 1.286618199630651e+03, -1.258238706924459e+02, 2.319496579027417e+06, 1.572234787114602e-02
27394, 2.139096941783876e+01, 9.044052163166403e-01, 1.067064733859451e+01, 1.298190109610937e+03, -1.066601865413376e+02, 2.323046759346375e+06, 1.307670779829889e-02
27395, 2.153147170992015e+01, 9.998073011214471e-01, 1.068611857288357e+01, 1.309817726470571e+03, -8.968486015617803e+01, 2.326131263095675e+06, 1.066428222588722e-02
27396, 2.169230150562009e+01, 1.109011909681259e+00, 1.069980054942809e+01, 1.321427771344565e+03, -7.485571241566824e+01, 2.328836582621680e+06, 8.520432010735053e-03
27397, 2.187637144093122e+01, 1.233996743155679e+00, 1.071195616597028e+01, 1.332876067423446e+03, -6.205742119644474e+01, 2.331231552115536e+06, 6.661812098840599e-03
27398, 2.208700816041819e+01, 1.377020617555276e+00, 1.072278217712206e+01, 1.343995721680562e+03, -5.112550791995002e+01, 2.333368896892406e+06, 5.089949533250210e-03
27399, 2.232801076962864e+01, 1.540663153356445e+00, 1.073241503030137e+01, 1.354628281719128e+03, -4.186664137194687e+01, 2.335287552783000e+06, 3.794204824049417e-03
27400, 2.260371749279533e+01, 1.727870036569195e+00, 1.074094296620209e+01, 1.364641463644196e+03, -3.407506011519125e+01, 2.337015338793635e+06, 2.754442090180074e-03
