"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
6587, -3.580356836524000e+00, 3.471595497416653e+00, 1.285959403974382e+00, 3.409710485284332e+02, 3.026516113151482e+01, 2.981443595466347e+05, 5.083070940562902e+00, 2.629667447851215e+00, 1.010336481666841e+05, 2.729244026644520e+02, 8.026218157509220e-01, -6.418346051335448e-03
6588, -3.393132387642239e+00, 3.655421076296950e+00, 1.285433095907028e+00, 3.410262630595487e+02, 3.026832930688273e+01, 2.980333225168528e+05, 5.271917498872640e+00, 2.352719550966027e+00, 1.009758829306105e+05, 2.728800425189960e+02, 8.031453792478073e-01, -7.690887468487308e-03
6589, -3.196507277412340e+00, 3.829118758091400e+00, 1.284903315343505e+00, 3.410847794293592e+02, 3.026465001289499e+01, 2.979222978055849e+05, 5.447059272421204e+00, 2.064792209875060e+00, 1.009177753359903e+05, 2.728354578001254e+02, 8.036782099510841e-01, -8.970970885977959e-03
6590, -2.991028591597011e+00, 3.992208513463447e+00, 1.284387682481046e+00, 3.411455601399745e+02, 3.025323267950862e+01, 2.978151861480414e+05, 5.607811342557455e+00, 1.766515491215909e+00, 1.008612541264338e+05, 2.727921220538451e+02, 8.042045105513945e-01, -1.021610697468758e-02
6591, -2.777268361435206e+00, 4.144242519630409e+00, 1.283905676177116e+00, 3.412073558386103e+02, 3.023345462334682e+01, 2.977162656863303e+05, 5.753511927379986e+00, 1.458567800770079e+00, 1.008084468136202e+05, 2.727516564596923e+02, 8.047066040302640e-01, -1.137942763693045e-02
6592, -2.555818605892824e+00, 4.284803143598081e+00, 1.283476489660047e+00, 3.412688331908622e+02, 3.020494865332613e+01, 2.976297123053031e+05, 5.883525552432728e+00, 1.141674589219102e+00, 1.007614438620451e+05, 2.727156471818176e+02, 8.051668433851163e-01, -1.241488090732938e-02
6593, -2.327295286014344e+00, 4.413502770495225e+00, 1.283116003802751e+00, 3.413287274845479e+02, 3.016749623643012e+01, 2.975589221777942e+05, 5.997243850138164e+00, 8.166162083760600e-01, 1.007219690644885e+05, 2.726853950199041e+02, 8.055702290750008e-01, -1.328449242870081e-02
6594, -2.092331520977449e+00, 4.529988929960047e+00, 1.282833507162602e+00, 3.413860169402743e+02, 3.012076315920743e+01, 2.975057740849397e+05, 6.094095077466633e+00, 4.842164979606381e-01, 1.006910210248374e+05, 2.726616395673109e+02, 8.059072557567056e-01, -1.396626341956970e-02
6595, -1.851578550242650e+00, 4.633942151040261e+00, 1.282628719163128e+00, 3.414400356079654e+02, 3.006391210366495e+01, 2.974699511447073e+05, 6.173544633084950e+00, 1.453491006394581e-01, 1.006685502172127e+05, 2.726443149585123e+02, 8.061763591260226e-01, -1.446128491213075e-02
6596, -1.605702844667997e+00, 4.725075978598912e+00, 1.282490389491431e+00, 3.414904546786524e+02, 2.999520488711702e+01, 2.974486032259286e+05, 6.235100571577425e+00, -1.990668170081378e-01, 1.006533089597497e+05, 2.726324395221285e+02, 8.063848596324246e-01, -1.479704276043975e-02
6597, -1.355385196406691e+00, 4.803140945576422e+00, 1.282397551569232e+00, 3.415370719845992e+02, 2.991178125972443e+01, 2.974365957026966e+05, 6.278318442022006e+00, -5.480682387301248e-01, 1.006429928324251e+05, 2.726242319009255e+02, 8.065474776428131e-01, -1.502430227113370e-02
6598, -1.101316916834675e+00, 4.867923630014146e+00, 1.282324330549140e+00, 3.415794178094928e+02, 2.980983057615528e+01, 2.974275605378443e+05, 6.302805085701486e+00, -9.006544306478068e-01, 1.006347699822159e+05, 2.726175232763302e+02, 8.066818137764938e-01, -1.520544785573410e-02
6599, -8.442018396283841e-01, 4.919244462500058e+00, 1.282247638913825e+00, 3.416162556282530e+02, 2.968548087320834e+01, 2.974156261800415e+05, 6.308221455482511e+00, -1.255778871539418e+00, 1.006261279690429e+05, 2.726104161800324e+02, 8.068015420658954e-01, -1.539582740644259e-02
6600, -5.847502247224989e-01, 4.956963957523695e+00, 1.282155719634374e+00, 3.416452692743745e+02, 2.953633728978872e+01, 2.973974056808453e+05, 6.294288556105750e+00, -1.612365795259683e+00, 1.006158104324680e+05, 2.726020062772471e+02, 8.069095398344306e-01, -1.562311796226711e-02
6601, -3.236790774431754e-01, 4.980978593931948e+00, 1.282054019880965e+00, 3.416631953506007e+02, 2.936324060363008e+01, 2.973734493638176e+05, 6.260789605735307e+00, -1.969306006763166e+00, 1.006044524441255e+05, 2.725928555611355e+02, 8.069941398318814e-01, -1.587332918901551e-02
6602, -6.170987519813680e-02, 4.991222860081837e+00, 1.281965576796223e+00, 3.416665373551054e+02, 2.917158635361515e+01, 2.973485348251087e+05, 6.207574254218927e+00, -2.325462476914607e+00, 1.005946149234309e+05, 2.725850047025355e+02, 8.070307763534806e-01, -1.609004521714676e-02
