"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
177, 2.142143000000000e-01, 6.798753000000000e-04, -3.939297167358785e-04, 1.612446458318634e-02, 3.709995815397719e-01, -3.727872941316934e+00, 1.385958718388738e+02, -5.741598908144533e+01, 8.278565065465093e+03, -3.614341740569354e+03, -3.219953289089903e+03, 1.352455651889200e+04
178, 2.208774000000000e-01, 5.718598000000000e-04, -3.970392459387049e-04, 1.646680294499807e-02, 3.822148489668297e-01, -3.852695264876872e+00, 1.426360243899433e+02, -6.357901456649972e+01, 1.749864810647105e+04, -4.533156578930118e+03, -5.884467731114664e+03, 2.497815564868199e+04
179, 2.268939000000000e-01, 4.727680000000000e-04, -3.995916732802256e-04, 1.677298995711012e-02, 3.923845750738911e-01, -3.967609311288252e+00, 1.463084107378835e+02, -7.019368468631399e+01, 2.496431113539925e+04, -5.438396094379957e+03, -8.261143047601385e+03, 3.460217543322095e+04
180, 2.322460000000000e-01, 3.832931000000000e-04, -4.016279556680192e-04, 1.704193945647202e-02, 4.014537471795542e-01, -4.071743139113994e+00, 1.495986308992856e+02, -7.721002736241007e+01, 3.023195268953219e+04, -6.302868359320501e+03, -9.969660302616157e+03, 4.162174498107848e+04
181, 2.369133000000000e-01, 3.046217000000000e-04, -4.032228405020384e-04, 1.727284352856510e-02, 4.093790065183625e-01, -4.164176216437133e+00, 1.524897543898215e+02, -8.448234488198625e+01, 3.279808301884028e+04, -7.071358626102297e+03, -1.049058722668040e+04, 4.505310265144723e+04
182, 2.408804000000000e-01, 2.375136000000000e-04, -4.044463091290080e-04, 1.746560738768309e-02, 4.161253452025127e-01, -4.244071026234082e+00, 1.549655411285803e+02, -9.175523189708201e+01, 3.211534004856175e+04, -7.617192381397695e+03, -9.607690408144557e+03, 4.413507667618569e+04
183, 2.441551000000000e-01, 1.805256000000000e-04, -4.052952868114127e-04, 1.762170554875672e-02, 4.216661318609777e-01, -4.311045019675483e+00, 1.570188394508958e+02, -9.869743176333350e+01, 2.810546650355099e+04, -7.973280011361760e+03, -7.253458240457512e+03, 3.888607174646949e+04
184, 2.467325000000000e-01, 1.335980000000000e-04, -4.058181884736544e-04, 1.774230139328320e-02, 4.259820913569861e-01, -4.364465198074385e+00, 1.586363817901858e+02, -1.048659686832051e+02, 2.172948082817860e+04, -8.051571374731895e+03, -2.248702840728813e+03, 3.011872720046594e+04
185, 2.485345000000000e-01, 1.044067000000000e-04, -4.063326578061580e-04, 1.782530454420334e-02, 4.290709827166289e-01, -4.402188980784593e+00, 1.597779162574136e+02, -1.095836221480517e+02, 1.121263259330034e+04, -9.007081234477690e+03, 2.301859452915209e+03, 2.073719014334244e+04
186, 2.495362000000000e-01, 9.519618000000000e-05, -4.069446512882750e-04, 1.787102118418016e-02, 4.309312189549404e-01, -4.423260936109798e+00, 1.604282969910334e+02, -1.123308337766580e+02, -1.952702186452194e+03, -6.776651766888740e+02, -5.296715790561152e+03, 1.066988809876587e+04
