"PointID","x","y","Temperature"
274, 1.290405205967021e-02, 6.999999999999997e-04, 3.821420357281943e+02
275, 1.295383539036083e-02, 6.999999999999997e-04, 3.818205388007913e+02
276, 1.300361872105145e-02, 6.999999999999997e-04, 3.814978816578126e+02
277, 1.305340205174207e-02, 6.999999999999997e-04, 3.811740783144758e+02
278, 1.310318538243269e-02, 6.999999999999997e-04, 3.808491414350382e+02
279, 1.315296871312332e-02, 6.999999999999997e-04, 3.805230840111453e+02
280, 1.320275204381394e-02, 6.999999999999997e-04, 3.801959191972987e+02
281, 1.325253537450456e-02, 6.999999999999997e-04, 3.798676614008556e+02
282, 1.330231870519518e-02, 6.999999999999997e-04, 3.795383244525698e+02
283, 1.335210203588580e-02, 6.999999999999997e-04, 3.792079214223485e+02
284, 1.340188536657643e-02, 6.999999999999997e-04, 3.788764642299197e+02
285, 1.345166869726705e-02, 6.999999999999997e-04, 3.785439641130819e+02
286, 1.350145202795767e-02, 6.999999999999997e-04, 3.782104330379959e+02
287, 1.355123535864829e-02, 6.999999999999997e-04, 3.778758831907339e+02
288, 1.360101868933891e-02, 6.999999999999997e-04, 3.775403263024943e+02
289, 1.365080202002953e-02, 6.999999999999997e-04, 3.772037748559655e+02
290, 1.370058535072016e-02, 6.999999999999997e-04, 3.768662408850969e+02
291, 1.375036868141078e-02, 6.999999999999997e-04, 3.765277364988823e+02
292, 1.380015201210140e-02, 6.999999999999997e-04, 3.761882720818867e+02
293, 1.384993534279202e-02, 6.999999999999997e-04, 3.758478573776706e+02
294, 1.389971867348264e-02, 6.999999999999997e-04, 3.755065020106103e+02
295, 1.394950200417326e-02, 6.999999999999997e-04, 3.751642162110221e+02
296, 1.399928533486389e-02, 6.999999999999997e-04, 3.748210095954964e+02
297, 1.404906866555451e-02, 6.999999999999997e-04, 3.744768914897087e+02
298, 1.409885199624513e-02, 6.999999999999997e-04, 3.741318712734523e+02
299, 1.414863532693575e-02, 6.999999999999997e-04, 3.737859582423950e+02
300, 1.419841865762637e-02, 6.999999999999997e-04, 3.734391619871183e+02
301, 1.424820198831699e-02, 6.999999999999997e-04, 3.730914927974079e+02
302, 1.429798531900762e-02, 6.999999999999997e-04, 3.727429607995930e+02
303, 1.434776864969824e-02, 6.999999999999997e-04, 3.723935753225581e+02
304, 1.439755198038886e-02, 6.999999999999997e-04, 3.720433454838672e+02
305, 1.444733531107948e-02, 6.999999999999997e-04, 3.716922802901391e+02
306, 1.449711864177010e-02, 6.999999999999997e-04, 3.713403881810067e+02
307, 1.454690197246072e-02, 6.999999999999997e-04, 3.709876776771095e+02
308, 1.459668530315135e-02, 6.999999999999997e-04, 3.706341566855439e+02
309, 1.464646863384197e-02, 6.999999999999997e-04, 3.702798341961728e+02
310, 1.469625196453259e-02, 6.999999999999997e-04, 3.699247180718351e+02
311, 1.474603529522321e-02, 6.999999999999997e-04, 3.695688159287313e+02
312, 1.479581862591383e-02, 6.999999999999997e-04, 3.692121353110895e+02
313, 1.484560195660446e-02, 6.999999999999997e-04, 3.688546835298741e+02
314, 1.489538528729508e-02, 6.999999999999997e-04, 3.684964679736389e+02
315, 1.494516861798570e-02, 6.999999999999997e-04, 3.681374956120503e+02
316, 1.499495194867632e-02, 6.999999999999997e-04, 3.677777733205107e+02
317, 1.504473527936694e-02, 6.999999999999997e-04, 3.674173080826491e+02
318, 1.509451861005756e-02, 6.999999999999997e-04, 3.670561068366976e+02
319, 1.514430194074818e-02, 6.999999999999997e-04, 3.666941766286500e+02
320, 1.519408527143881e-02, 6.999999999999997e-04, 3.663315250584945e+02
321, 1.524386860212943e-02, 6.999999999999997e-04, 3.659681594258463e+02
322, 1.529365193282005e-02, 6.999999999999997e-04, 3.656040868715531e+02
323, 1.534343526351067e-02, 6.999999999999997e-04, 3.652393148201285e+02
324, 1.539321859420129e-02, 6.999999999999997e-04, 3.648738504210157e+02
325, 1.544300192489191e-02, 6.999999999999997e-04, 3.645077009561017e+02
326, 1.549278525558254e-02, 6.999999999999997e-04, 3.641408725956913e+02
327, 1.554256858627316e-02, 6.999999999999997e-04, 3.637733716936862e+02
328, 1.559235191696378e-02, 6.999999999999997e-04, 3.634052051174113e+02
