"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","Species_0"
2149, -6.348538650066290e-02, 4.697934653248664e-03, -1.891479005478569e+00, 3.816261055766561e+00, 1.292551276143556e-03, 3.266509336288922e-03, 5.439402466351607e+04, 3.634193049401246e-26
2150, -6.348538650067972e-02, 4.741426824944534e-03, -1.882647357420471e+00, 4.502991715462588e+00, 1.791456943814301e-03, 4.860325517020276e-03, 4.474598139119948e+04, 3.018069422756576e-26
2151, -6.348538650069953e-02, 4.792594130082924e-03, -1.874614179391291e+00, 5.224386237640176e+00, 2.395582497196920e-03, 6.397161197531200e-03, 3.751081545647326e+04, 2.384718225714648e-26
2152, -6.348538650072279e-02, 4.852790922127556e-03, -1.869212697073517e+00, 5.955884617814833e+00, 3.083269921955773e-03, 7.527222341667973e-03, 3.117280981387345e+04, 1.774720147654333e-26
2153, -6.348538650075017e-02, 4.923610620208594e-03, -1.868466255861571e+00, 6.667001868443252e+00, 3.808547521720102e-03, 7.962242495450656e-03, 2.515504577740121e+04, 1.229976274582791e-26
2154, -6.348538650078241e-02, 5.006927893670644e-03, -1.873976671916359e+00, 7.325324511146508e+00, 4.502516098532488e-03, 7.604429947951219e-03, 1.938843568725481e+04, 7.840966248701266e-27
2155, -6.348538650082033e-02, 5.104948153618648e-03, -1.886300249901276e+00, 7.901971703876139e+00, 5.082493914060278e-03, 6.585516629747191e-03, 1.388738243568965e+04, 4.536797475779686e-27
2156, -6.348538650086490e-02, 5.220266184094991e-03, -1.904609206167225e+00, 8.376773349349675e+00, 5.467228463633221e-03, 5.204246558723995e-03, 9.277510517936706e+03, 2.348442214008001e-27
2157, -6.348538650091737e-02, 5.355934588898157e-03, -1.926629287701592e+00, 8.741245173945689e+00, 5.594648153864227e-03, 3.832935853422617e-03, 6.016094902177249e+03, 1.071066893687701e-27
2158, -6.348538650097910e-02, 5.515544405924774e-03, -1.949252467466281e+00, 8.999140003841340e+00, 5.436180119928221e-03, 2.785613752366566e-03, 3.737743751218723e+03, 4.238382561842289e-28
