"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
40, 8.410425720427325e-01, 2.288560459405798e-02, 7.557009044898515e-01, -2.631476941376286e-02, 6.819037037763571e-01, 1.750024909368505e+05, 0.000000000000000e+00, -3.482159558988070e-02, 9.023440270665372e-01
41, 8.309640651067923e-01, 2.382690126883855e-02, 7.526569718692138e-01, -2.728679366482078e-02, 6.676159849362396e-01, 1.742872412513506e+05, 0.000000000000000e+00, -3.625382570661613e-02, 8.870090731119348e-01
42, 8.204310039647043e-01, 2.481065168855143e-02, 7.494258029291732e-01, -2.829138382212429e-02, 6.527384063967300e-01, 1.735318146056001e+05, 0.000000000000000e+00, -3.775065132622469e-02, 8.709824921271131e-01
43, 8.094381717938632e-01, 2.583734308585895e-02, 7.459703916171868e-01, -2.932623077045547e-02, 6.372507163238796e-01, 1.727236713435371e+05, 0.000000000000000e+00, -3.931281379764719e-02, 8.542563464547439e-01
44, 7.979820870182464e-01, 2.690691196382409e-02, 7.423605353072973e-01, -3.039240845448655e-02, 6.212262579140605e-01, 1.718775906114556e+05, 0.000000000000000e+00, -4.094021650710827e-02, 8.368253387022331e-01
45, 7.860610871684576e-01, 2.801767388599019e-02, 7.384753454971206e-01, -3.148137092934292e-02, 6.045791216188636e-01, 1.709668191254303e+05, 0.000000000000000e+00, -4.263029650002875e-02, 8.186869393389865e-01
46, 7.736760064205025e-01, 2.917167743192798e-02, 7.340917866636991e-01, -3.258349778558259e-02, 5.871572874444855e-01, 1.699385413848160e+05, 0.000000000000000e+00, -4.438617079300536e-02, 7.998424176056484e-01
47, 7.608297794234479e-01, 3.036864916010759e-02, 7.292476457380590e-01, -3.369668425136589e-02, 5.690296944333468e-01, 1.688047179828679e+05, 0.000000000000000e+00, -4.620742333103152e-02, 7.802962387180088e-01
48, 7.475272194733962e-01, 3.160184783125401e-02, 7.247864261994782e-01, -3.485057129239949e-02, 5.508794633690530e-01, 1.677618422108167e+05, 0.000000000000000e+00, -4.808379698033367e-02, 7.600557263475768e-01
49, 7.337738238140257e-01, 3.284354195179074e-02, 7.201560296257774e-01, -3.598856803831391e-02, 5.322904677949870e-01, 1.666827665804160e+05, 0.000000000000000e+00, -4.997309688211075e-02, 7.391292448264128e-01
50, 7.195831998734823e-01, 3.412471023561849e-02, 7.142683187810821e-01, -3.708675188138647e-02, 5.125168537514216e-01, 1.653064546076036e+05, 0.000000000000000e+00, -5.192245870380431e-02, 7.175374985391429e-01
51, 7.049688155266243e-01, 3.544413676621461e-02, 7.087477849575133e-01, -3.822301397923414e-02, 4.927959041337840e-01, 1.640270268405563e+05, 0.000000000000000e+00, -5.393003236742107e-02, 6.953009795330641e-01
52, 6.899417566922166e-01, 3.674034475138970e-02, 7.038039364404860e-01, -3.934436131924148e-02, 4.732649155857794e-01, 1.628772622257645e+05, 0.000000000000000e+00, -5.590227784927564e-02, 6.724365555897724e-01
