"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
2099, 1.276997364762364e-01, 3.064783688400899e-01, 1.088099088908165e+00, 3.432499980167489e+02, 4.186253525037753e+01, 2.695106435495606e+05, 8.582592213492461e+04, 2.747769995698458e+02, 9.563330004760853e-01, -3.414375124483495e-01, 3.154584003568805e+02, 3.847309098694659e+01
2100, 1.020571869514597e+00, -4.838214398922499e-02, 1.322807082496279e+00, 3.124221848592522e+02, 1.599117643714581e+01, 3.191290317544123e+05, 1.128552995263933e+05, 2.972047810605993e+02, 6.842845948228559e-01, 2.540071623839777e-01, 2.361812156839061e+02, 1.208881978993395e+01
2101, 7.098628794236540e-01, -3.584681121838378e-01, 1.198867762822939e+00, 3.364157266632599e+02, 2.138505285086796e+01, 2.931904615889297e+05, 9.831948813315934e+04, 2.856923897722652e+02, 8.298173452451284e-01, -6.621003548607438e-02, 2.806112042508439e+02, 1.783770780566591e+01
2102, -5.430578320450519e-02, -9.052398416254839e-02, 1.377231312064992e+00, 2.952781040629881e+02, -2.645737211340766e+01, 3.303718735646618e+05, 1.193855845880858e+05, 3.019780299949313e+02, 6.179085837004104e-01, 3.978663200998773e-01, 2.143997899817237e+02, -1.921055082151598e+01
2103, 1.001924766939609e+00, 2.493037324306348e-03, 1.381897743644888e+00, 2.619999133183927e+02, -6.914329274089974e+00, 3.294450043363167e+05, 1.218363453646458e+05, 3.071364080455682e+02, 5.398361039579125e-01, 4.518554458039415e-01, 1.895942840367788e+02, -5.003502832165255e+00
2104, 1.002426886688063e+00, 5.698239526816589e-04, 1.374136001323317e+00, 2.328678268273884e+02, -4.431513045937473e+00, 3.261729063243600e+05, 1.225737194255758e+05, 3.107405943380834e+02, 4.796346566805080e-01, 4.680994551120828e-01, 1.694649049316316e+02, -3.224945013935918e+00
2105, 1.002217852281682e+00, 1.588785831016564e-03, 1.385169058969933e+00, 2.656625386710391e+02, -2.838635109712812e+00, 3.303865253920878e+05, 1.219631260422654e+05, 3.067298982640193e+02, 5.462927370792494e-01, 4.546483654582461e-01, 1.917906965584378e+02, -2.049305888931518e+00
2106, 1.020571881155801e+00, 4.838210548194039e-02, 1.312914833407870e+00, 2.962986038780378e+02, -1.178107602415001e+01, 3.158205158572618e+05, 1.129333304263731e+05, 2.996511343026200e+02, 6.508475342984231e-01, 2.557261469981026e-01, 2.256799880224902e+02, -8.973221814830470e+00
2107, -6.812955784648705e-03, 1.916390719342317e-01, 1.233991395161204e+00, 3.262113758868069e+02, 6.185489181453768e+01, 3.006052137772924e+05, 1.023748799806952e+05, 2.890091679266104e+02, 7.895008431037129e-01, 2.312837009391539e-02, 2.643546601426600e+02, 5.012586964308387e+01
2108, -2.926064517712309e-02, -1.583700495556910e-01, 1.316389092221722e+00, 3.133010790607365e+02, -3.383235719035733e+01, 3.178396427640559e+05, 1.120487988611512e+05, 2.965195112744465e+02, 6.934572054944700e-01, 2.362403259743938e-01, 2.380003609206195e+02, -2.570087931468432e+01
